id,state,animal,plant,palabras,ip_address
39,Pennsylvania,Damaliscus lunatus,Carminatia tenuiflora DC.,leo maecenas pulvinar,26.177.171.132
40,Louisiana,Macropus parryi,Allium sanbornii Alph. Wood,et ultrices posuere,207.1.254.198
41,Kentucky,Nectarinia chalybea,Lasthenia chrysantha (Greene ex A. Gray) Greene,diam vitae quam,226.47.255.123
42,New York,Panthera leo,Glandularia bipinnatifida (Nutt.) Nutt. var. bipinnatifida,suscipit ligula in lacus curabitur,214.24.98.39
43,Ohio,Cacatua tenuirostris,Synthyris missurica (Raf.) Pennell ssp. hirsuta Pennell,lectus suspendisse potenti in eleifend,85.67.227.95
44,California,Dendrocitta vagabunda,Severinia monophylla (L.) Tanaka [excluded],id sapien in sapien iaculis,104.31.165.124
45,Florida,Thamnolaea cinnmomeiventris,Portulaca caulerpoides Britton & P. Wilson ex Britton,vel pede morbi,66.109.236.88
46,Florida,Marmota monax,Eurybia wasatchensis (M.E. Jones) G.L. Nesom,nulla sed accumsan,178.158.35.17
47,Florida,Deroptyus accipitrinus,Lithospermum latifolium Michx.,aliquet massa id lobortis,171.93.171.43
48,Louisiana,Equus burchelli,Nicolletia occidentalis A. Gray,vivamus vestibulum sagittis sapien,135.14.17.58
49,Illinois,Tachyglossus aculeatus,Penstemon heterophyllus Lindl. ssp. purdyi D.D. Keck,pellentesque ultrices mattis odio,164.104.123.76
50,Montana,Dendrocitta vagabunda,Lonicera caerulea L. var. cauriana (Fernald) B. Boivin,ante ipsum primis in,1.171.135.75
51,Indiana,Papio cynocephalus,Lomatium bentonitum K.M. Carlson & Mansfield,odio curabitur convallis duis,127.73.26.207
52,Missouri,Mabuya spilogaster,Polygala penaea L.,consectetuer eget rutrum at,0.195.54.6
53,Florida,Marmota flaviventris,Erodium gruinum (L.) L'Hér. ex Aiton,justo eu massa,252.72.47.164
54,Georgia,Bradypus tridactylus,Cyanea kahiliensis (H. St. John) Lammers,vel augue vestibulum ante,27.251.55.104
55,California,Myrmecophaga tridactyla,Mimulus latidens (A. Gray) Greene,lorem vitae mattis,108.145.247.165
56,Arizona,Cereopsis novaehollandiae,Desmanthus leptolobus Torr. & A. Gray,donec posuere metus vitae,217.162.165.42
57,Minnesota,Helogale undulata,Caloplaca grimmiae (Nyl.) H. Olivier,vestibulum proin eu mi nulla,40.230.116.116
58,Washington,Stenella coeruleoalba,Mirabilis laevis (Benth.) Curran var. laevis,justo pellentesque viverra pede ac,175.112.62.119
59,California,Conolophus subcristatus,Hieracium pilosella L. var. pilosella,est risus auctor,143.218.124.200
60,Florida,Upupa epops,Ophiopogon jaburan (Siebold) Lodd.,sagittis sapien cum sociis,53.100.225.205
61,Wisconsin,Cervus unicolor,Nectandra Roland. ex Rottb.,et commodo vulputate justo in,180.243.93.74
62,Ohio,Cynictis penicillata,Trisetum melicoides (Michx.) Vasey ex Scribn.,eget congue eget semper rutrum,230.246.132.175
63,Utah,Oryx gazella callotis,Henriettea membranifolia (Cogn.) Alain,volutpat dui maecenas,234.197.172.213
64,California,Bassariscus astutus,Hypoxis mexicana Schult. & Schult. f.,mauris vulputate elementum nullam varius,154.1.17.252
65,New York,Pterocles gutturalis,Consolida regalis Gray,nibh quisque id justo sit,251.205.47.215
66,Texas,Aonyx capensis,Kalanchoe laciniata (L.) DC.,pellentesque viverra pede ac,106.55.243.217
67,Pennsylvania,Butorides striatus,Setaria sphacelata (Schumach.) Stapf & C.E. Hubb. ex M.B. Moss var. splendida (Stapf) Clayton,cubilia curae mauris viverra diam,213.3.199.100
68,Utah,Sylvilagus floridanus,Carex dasycarpa Muhl.,pede ac diam cras,81.169.4.166
69,Alabama,Colaptes campestroides,Mollugo verticillata L.,nascetur ridiculus mus vivamus,25.218.227.160
70,Texas,Phalaropus lobatus,Rhynchospora debilis Gale,placerat ante nulla,213.19.180.202
71,Colorado,Halcyon smyrnesis,Delphinium parryi A. Gray ssp. blochmaniae (Greene) F.H. Lewis & Epling,sapien ut nunc,224.249.70.219
72,Florida,Ovis canadensis,Silphium asteriscus L. var. asteriscus,elementum in hac habitasse,34.58.174.95
73,Texas,Larus fuliginosus,Panicum schinzii Hack.,sapien iaculis congue vivamus metus,189.25.195.0
74,Texas,Drymarchon corias couperi,Coryphantha recurvata (Engelm.) Britton & Rose,et commodo vulputate justo,101.129.13.86
75,Texas,Macropus rufus,Orthotrichum striatum Hedw.,luctus nec molestie sed justo,81.246.140.138
76,South Carolina,Nyctea scandiaca,Caltha L.,pellentesque ultrices phasellus,165.207.219.105
77,Iowa,Phascogale tapoatafa,Trypethelium nitidiusculum (Nyl.) R.C. Harris,vestibulum eget vulputate ut,225.203.60.213
78,Arizona,Dicrurus adsimilis,Vaccinium ×margarettiae Ashe (pro sp.),elementum in hac habitasse,134.131.237.189
79,Mississippi,Centrocercus urophasianus,Vigna radiata (L.) R. Wilczek var. radiata,eget eleifend luctus,203.197.82.227
80,Minnesota,Francolinus coqui,Amoreuxia Moc. & Sessé ex DC.,malesuada in imperdiet et commodo,193.9.148.21
81,Texas,Hymenolaimus malacorhynchus,Mohavea A. Gray,ut volutpat sapien arcu sed,149.240.47.81
82,New Jersey,Ourebia ourebi,Govenia floridana P.M. Brown,lectus pellentesque eget nunc,109.50.206.163
83,Georgia,Felis caracal,Stylodon Raf.,mattis odio donec,6.76.155.34
84,Pennsylvania,Cebus nigrivittatus,Scirpus lineatus Michx.,id massa id nisl,53.54.151.81
85,Delaware,Bassariscus astutus,Pictetia aculeata (Vahl) Urb.,ut tellus nulla,241.189.166.241
86,Indiana,Delphinus delphis,Poa nervosa (Hook.) Vasey,vestibulum ac est lacinia,198.242.76.129
87,Georgia,Coracias caudata,Macranthera Nutt. ex Benth.,maecenas tincidunt lacus,46.193.178.149
88,Arkansas,Caiman crocodilus,Mimulus lewisii Pursh,ultrices phasellus id sapien in,201.84.18.235
89,New York,Cebus apella,Leymus ×multiflorus (Gould) Barkworth & Atkins,ante nulla justo aliquam quis,112.1.190.218
90,Florida,Suricata suricatta,Primula cusickiana (A. Gray) A. Gray var. cusickiana,ac nibh fusce lacus,135.186.221.207
91,California,Anser caerulescens,Consolida Gray,quisque erat eros viverra eget,28.123.1.173
92,New York,Chordeiles minor,Mentzelia pumila Nutt. ex Torr. & A. Gray,vitae mattis nibh ligula,44.149.47.49
93,Maryland,Connochaetus taurinus,Comptonia peregrina (L.) J.M. Coult.,penatibus et magnis,151.199.228.65
94,Iowa,Martes pennanti,Sadleria squarrosa (Gaudich.) T. Moore,tristique est et tempus semper,237.90.235.83
95,New York,Tamiasciurus hudsonicus,Alliaria Heist. ex Fabr.,nunc nisl duis,165.92.189.171
96,Mississippi,Eremophila alpestris,Acorus calamus L.,hac habitasse platea,145.242.230.39
97,Colorado,Felis wiedi or Leopardus weidi,Rorippa curvisiliqua (Hook.) Besser ex Britton var. lyrata (Nutt.) M. Peck ex C.L. Hitchc.,tempor convallis nulla neque,90.47.78.162
98,North Dakota,Ateles paniscus,Crataegus schuettei Ashe,et commodo vulputate justo in,114.64.250.237
99,North Carolina,Phascogale tapoatafa,Stipulicida setacea Michx. var. setacea,integer non velit donec,74.35.106.195
100,Arizona,Tursiops truncatus,Eucalyptus loxophleba Benth.,at velit vivamus vel,74.2.28.67
101,Nevada,Certotrichas paena,Physalis turbinata Medik.,porttitor lorem id,141.117.11.35
102,Arizona,Merops nubicus,Castilleja levisecta Greenm.,consequat ut nulla sed accumsan,54.90.110.229
103,Idaho,Iguana iguana,Quercus ×nessiana Palmer,porttitor lacus at turpis donec,224.103.160.95
104,Alaska,Cercatetus concinnus,Lupinus hirsutissimus Benth.,leo odio porttitor id consequat,121.171.45.122
105,Texas,Elephas maximus bengalensis,Orontium L.,rhoncus aliquet pulvinar,222.117.122.208
106,Missouri,Nyctanassa violacea,Domingoa haematochila (Rchb. f.) Carabia,porttitor pede justo eu,83.229.38.170
107,Florida,Canis lupus baileyi,Toxicodendron pubescens Mill.,est lacinia nisi,89.43.35.56
108,California,Cacatua tenuirostris,Boltonia decurrens (Torr. & A. Gray) Alph. Wood,adipiscing elit proin interdum,219.241.28.152
109,California,Equus burchelli,Ranunculus marginatus d'Urv. var. marginatus d'Urv. [excluded],lacus purus aliquet at feugiat,123.147.127.174
110,Texas,Felis libyca,Gratiola virginiana L.,nibh in quis justo,118.155.0.160
111,Texas,Loris tardigratus,Symphyotrichum foliaceum (Lindl. ex DC.) G.L. Nesom var. apricum (A. Gray) G.L. Nesom,in lacus curabitur,143.145.251.244
112,California,Semnopithecus entellus,Eriophyllum mohavense (I.M. Johnst.) Jeps.,tellus in sagittis dui,120.26.185.131
113,California,Dendrocitta vagabunda,Polemonium foliosissimum A. Gray var. alpinum Brand,in ante vestibulum ante ipsum,147.94.23.62
114,California,Phascogale tapoatafa,Oncostema verna (Huds.) Speta,turpis a pede,195.229.202.127
115,Colorado,Aonyx capensis,Corethrogyne filaginifolia (Hook. & Arn.) Nutt.,sodales scelerisque mauris sit amet,222.29.28.239
116,District of Columbia,Naja haje,Chrysosplenium alternifolium L. var. sibiricum Ser. ex DC.,mus vivamus vestibulum sagittis sapien,176.140.40.130
117,Tennessee,Myiarchus tuberculifer,Sphenopholis nitida (Biehler) Scribn.,tempus vivamus in felis,29.66.183.140
118,New York,Ourebia ourebi,Hymenopappus scabiosaeus L'Hér. var. scabiosaeus,aliquet maecenas leo odio condimentum,85.54.140.105
119,California,Terrapene carolina,Passiflora tripartita (Juss.) Poir.,ultrices posuere cubilia curae,185.224.89.146
120,Colorado,Uraeginthus angolensis,Caloplaca camptidia (Tuck.) Zahlbr.,dapibus at diam nam,243.116.142.99
121,District of Columbia,Dasyurus viverrinus,Verbena carolina L.,nibh in hac habitasse,57.36.226.6
122,Ohio,Egretta thula,Muilla coronata Greene,varius integer ac leo,160.173.90.245
123,Louisiana,Alouatta seniculus,Polygonum careyi Olney,non pretium quis lectus suspendisse,17.78.158.247
124,Alabama,Macaca fuscata,Liatris acidota Engelm. & A. Gray,lacus at turpis donec posuere,227.125.152.65
125,North Carolina,Haematopus ater,Solanum macrocarpon L.,dui nec nisi,96.244.118.209
126,Texas,Corythornis cristata,Brassica oleracea L. var. italica Plenck,convallis duis consequat dui,151.50.207.127
127,West Virginia,Orcinus orca,Hypochaeris microcephala (Sch. Bip.) Cabrera var. microcephala (Sch. Bip.) Cabrera [excluded],luctus cum sociis,137.44.152.70
128,Texas,Antidorcas marsupialis,Sorghastrum setosum (Griseb.) Hitchc.,condimentum curabitur in libero ut,174.125.92.12
129,Kentucky,Papio cynocephalus,Oenothera coronopifolia Torr. & A. Gray,lobortis vel dapibus,53.8.127.228
130,Georgia,Herpestes javanicus,Phlox idahonis Wherry,suspendisse accumsan tortor quis,117.185.76.199
131,Florida,Antidorcas marsupialis,Cryptantha ganderi I.M. Johnst.,erat id mauris vulputate elementum,128.214.16.152
132,Pennsylvania,Actophilornis africanus,Melanelia sorediata (Ach.) Goward & Ahti,nisi venenatis tristique,255.220.43.53
133,Florida,Dasyprocta leporina,Matayba Aubl.,luctus rutrum nulla tellus,196.171.148.180
134,Indiana,Felis rufus,Phacelia mohavensis A. Gray,quisque porta volutpat erat,158.236.40.208
135,New Mexico,Vanessa indica,Oxyria digyna (L.) Hill,at velit eu est,149.24.42.193
136,Maryland,Elephas maximus bengalensis,Carex spissa L.H. Bailey,mus etiam vel augue,103.239.90.168
137,Washington,Nycticorax nycticorax,Vitex agnus-castus L.,cras pellentesque volutpat dui maecenas,220.158.174.202
138,District of Columbia,Zonotrichia capensis,Lilium bulbiferum L.,ante ipsum primis in faucibus,217.98.64.73
139,Pennsylvania,Lama glama,Achyronychia cooperi Torr. & A. Gray,eu orci mauris,134.157.223.50
140,Pennsylvania,Anas punctata,Ericameria nauseosa (Pall. ex Pursh) G.L. Nesom & Baird ssp. nauseosa var. texensis (L.C. Anderson) G.L. Nesom & Baird,vivamus vestibulum sagittis,96.179.30.52
141,Florida,Trichosurus vulpecula,Carbonea vorticosa (Flörke) Hertel,hac habitasse platea dictumst,98.90.65.159
142,Illinois,Chionis alba,Tamarix gallica L.,tempor turpis nec,213.218.219.209
143,Virginia,Choriotis kori,Psorotichia nigra H. Magn.,sodales sed tincidunt,117.157.160.201
144,California,Pelecans onocratalus,Pluchea yucatanensis G.L. Nesom,primis in faucibus orci luctus,208.157.60.96
145,New York,unavailable,Lepidium alyssoides A. Gray,fusce lacus purus aliquet,2.219.221.158
146,California,unavailable,Orthotrichum consimile Mitt.,in imperdiet et commodo,103.136.164.156
147,North Carolina,Varanus komodensis,Orthocarpus Nutt.,suscipit a feugiat,67.199.86.129
148,Arizona,Didelphis virginiana,Carex paleacea Schreb. ex Wahlenb.,pede justo lacinia eget tincidunt,117.42.57.207
149,Ohio,Podargus strigoides,Abronia elliptica A. Nelson,vitae consectetuer eget,241.138.138.177
150,Pennsylvania,unavailable,Sedum laxum (Britton) A. Berger ssp. laxum,integer ac leo pellentesque,230.116.209.227
151,Pennsylvania,Macropus rufogriseus,Colubrina texensis (Torr. & A. Gray) A. Gray var. pedunculata M.C. Johnst.,tincidunt nulla mollis molestie,164.115.127.228
152,Mississippi,Phalaropus lobatus,Corydalis curvisiliqua Engelm. ssp. curvisiliqua,pretium iaculis justo in,31.93.160.34
153,Texas,Sarcorhamphus papa,Astragalus austiniae A. Gray ex W.H. Brewer & S. Watson,sapien ut nunc vestibulum ante,41.142.178.37
154,Arizona,Vulpes vulpes,Potamogeton bicupulatus Fernald,morbi ut odio,50.63.194.25
155,California,Gazella thompsonii,Cerastium biebersteinii DC.,rhoncus dui vel,184.213.212.120
156,Florida,Procyon cancrivorus,Ephedra altissima Desf.,aliquet pulvinar sed,137.9.234.171
157,Alabama,Colaptes campestroides,Chamaesaracha villosa Rydb.,consectetuer adipiscing elit proin,4.70.139.202
158,Minnesota,Axis axis,Chorisia Kunth,nulla suspendisse potenti,119.174.233.116
159,Florida,Bucephala clangula,Penstemon rubicundus D.D. Keck,placerat praesent blandit,9.148.114.83
160,New York,Macropus robustus,Perityle gilensis (M.E. Jones) J.F. Macbr. var. salensis A. Powell,vulputate ut ultrices vel augue,149.56.214.173
161,Texas,Erethizon dorsatum,Sapindus saponaria L.,aliquam augue quam,14.214.77.253
162,Iowa,Paroaria gularis,Oenothera canescens Torr. & Frém.,dolor sit amet consectetuer adipiscing,109.207.15.46
163,Texas,Corythornis cristata,Polygala nana (Michx.) DC.,quam nec dui,32.173.47.24
164,Connecticut,Nycticorax nycticorax,Bigelowia nudata (Michx.) DC. ssp. australis L.C. Anderson,vel augue vestibulum,50.186.164.67
165,New Jersey,Theropithecus gelada,Caulanthus heterophyllus (Nutt.) Payson,sit amet nunc viverra,89.135.21.180
166,California,Turtur chalcospilos,Silene nutans L.,non velit nec nisi,28.153.71.168
167,Ohio,Callipepla gambelii,Balanites aegyptiacus (L.) Delile,curae nulla dapibus dolor,137.87.73.89
168,Virginia,Toxostoma curvirostre,Senna siamea (Lam.) Irwin & Barneby,ultrices erat tortor,91.116.70.78
169,Nevada,Coluber constrictor,Penstemon scapoides D.D. Keck,eros suspendisse accumsan tortor quis,224.10.39.249
170,South Dakota,Phalacrocorax brasilianus,Securidaca diversifolia (L.) S.F. Blake,lectus in quam fringilla rhoncus,99.133.109.243
171,District of Columbia,Spermophilus tridecemlineatus,Sambucus nigra L. ssp. cerulea (Raf.) R. Bolli,purus eu magna vulputate,249.105.206.125
172,Georgia,Pycnonotus nigricans,"Tomasellia difforme (Minks) ?, ined.?",sagittis nam congue,0.197.149.202
173,Wisconsin,Laniarius ferrugineus,Cetraria kamczatica Savicz,sem duis aliquam convallis nunc,43.220.20.247
174,Minnesota,Ratufa indica,Solanum fendleri A. Gray ex Torr. var. fendleri,ut blandit non interdum,186.200.25.176
175,New Jersey,Manouria emys,Letrouitia vulpina (Tuck.) Hafellner & Bellem.,faucibus accumsan odio,155.124.221.81
176,Florida,Macropus agilis,Galanthus L.,sed vestibulum sit amet,64.59.101.179
177,Colorado,Sula dactylatra,Astragalus lentiginosus Douglas ex Hook. var. coachellae Barneby ex Shreve & Wiggins,ac enim in tempor,101.115.139.71
178,Michigan,Centrocercus urophasianus,Lupinus densiflorus Benth. var. palustris (Kellogg) C.P. Sm.,ante nulla justo aliquam,146.166.210.148
179,California,Trachyphonus vaillantii,Datura wrightii Regel,aliquam convallis nunc proin,237.223.128.0
180,Indiana,Ictonyx striatus,Scutellaria incana Biehler,vel accumsan tellus,178.14.19.142
181,Texas,Dicrostonyx groenlandicus,Pleurozium Mitt.,massa donec dapibus,184.32.51.101
182,Arizona,Canis aureus,Eragrostis plana Nees,sit amet consectetuer adipiscing elit,123.8.107.27
183,Georgia,Geochelone radiata,Caryopteris Bunge,eros viverra eget congue,97.143.135.150
184,Wisconsin,Colobus guerza,Dryopteris ×pittsfordensis Slosson,morbi a ipsum,225.36.36.243
185,New York,Aquila chrysaetos,"Viola langloisii Greene, nom. inq.",quisque porta volutpat,80.103.225.38
186,Arizona,Tayassu pecari,Allium ascalonicum L.,diam cras pellentesque volutpat,7.105.188.169
187,Nevada,Ara macao,Ctenitis submarginalis (Langsd. & Fisch.) Ching,proin at turpis a pede,157.74.77.215
188,Oklahoma,Aegypius occipitalis,Acacia angustissima (Mill.) Kuntze var. hirta (Nutt.) B.L. Rob.,enim lorem ipsum,233.119.202.60
189,North Carolina,Gopherus agassizii,Reynosia septentrionalis Urb.,mauris viverra diam,145.211.86.37
190,Georgia,Sula nebouxii,Sagina decumbens (Elliott) Torr. & A. Gray,at turpis a,35.116.254.133
191,Virginia,Sarkidornis melanotos,Brickellia longifolia S. Watson var. multiflora (Kellogg) Cronquist,turpis enim blandit mi,139.90.213.40
192,Minnesota,Aonyx cinerea,Polygonum persicaria L.,morbi a ipsum,88.47.26.32
193,Washington,Pycnonotus barbatus,Calochortus eurycarpus S. Watson,interdum mauris ullamcorper purus sit,3.230.125.228
194,Texas,Alcelaphus buselaphus cokii,Hypnum dieckii Renauld & Cardot,odio odio elementum eu,44.37.24.171
195,Maryland,Philetairus socius,Quercus depressipes Trel.,accumsan tortor quis,239.67.61.15
196,Louisiana,Erethizon dorsatum,Geranium robertianum L. ssp. purpureum (Vill.) Nyman,imperdiet et commodo,241.61.143.129
197,Washington,Giraffe camelopardalis,Crataegus alma Beadle,nisl duis ac,123.102.56.254
198,Oklahoma,Vicugna vicugna,Erigeron decumbens Nutt. var. decumbens,nulla mollis molestie lorem,216.161.60.119
199,Texas,Lycaon pictus,Pedicularis parviflora Sm. ex Rees,enim lorem ipsum dolor,115.159.108.51
200,Missouri,Psittacula krameri,Geoffroea decorticans (Gillies ex Hook. & Arn.) Burkart,augue luctus tincidunt nulla mollis,91.136.81.59
201,California,Taurotagus oryx,Pottia arizonica Wareh. var. arizonica,rutrum ac lobortis vel,116.55.209.84
202,Kansas,Pteronura brasiliensis,Brassica perviridis (L.H. Bailey) L.H. Bailey,sagittis nam congue risus semper,47.248.17.109
203,Indiana,Macaca mulatta,Scleria testacea Nees,tempor convallis nulla neque,27.198.229.147
204,Nebraska,Kobus leche robertsi,Collinsia torreyi A. Gray var. wrightii (S. Watson) I.M. Johnst.,vel pede morbi porttitor lorem,68.161.79.202
205,Kansas,Agkistrodon piscivorus,Cladonia deformis (L.) Hoffm.,vehicula consequat morbi,189.150.43.54
206,Wisconsin,Cygnus atratus,Encalypta procera Bruch,consectetuer adipiscing elit proin risus,47.253.54.87
207,Texas,Pycnonotus barbatus,Carya ×brownii Sarg.,justo lacinia eget tincidunt,19.119.25.158
208,Illinois,Paraxerus cepapi,Myosoton Moench,sapien cum sociis natoque,202.29.73.128
209,West Virginia,Larus fuliginosus,Daniellia Benn.,nam dui proin leo odio,80.243.52.247
210,Idaho,Otaria flavescens,Hygroamblystegium fluviatile (Hedw.) Loeske,faucibus orci luctus et,221.0.176.237
211,North Carolina,Macropus robustus,Mecardonia procumbens (Mill.) Small,id lobortis convallis tortor risus,237.47.122.100
212,Florida,Carduelis uropygialis,Caloplaca approximata (Lynge) H. Magn.,pede morbi porttitor lorem id,220.147.117.168
213,Alabama,Zonotrichia capensis,Carex marina Dewey ssp. marina,nulla ac enim in,219.244.48.3
214,Georgia,Laniarius ferrugineus,Sida glutinosa Comm. ex Cav.,scelerisque quam turpis,248.81.223.198
215,Ohio,Neophron percnopterus,Urospermum Scop.,etiam pretium iaculis justo in,66.220.135.217
216,Florida,Rhea americana,Ipomoea costellata Torr.,justo pellentesque viverra pede,121.232.27.31
217,Tennessee,Francolinus swainsonii,Quercus acutissima Carruthers,hac habitasse platea,150.2.74.237
218,Florida,Centrocercus urophasianus,Rytidosperma semiannulare (Labill.) Connor & Edgar,aenean lectus pellentesque,49.48.150.217
219,Georgia,Diomedea irrorata,Eleocharis schaffneri Boeckeler,id sapien in sapien iaculis,83.34.84.192
220,Michigan,Branta canadensis,Pleurothallis tricostata Cogn.,elementum ligula vehicula,153.15.79.95
221,California,Kobus defassa,Polymnia sonchifolia Poeppig & Endl.,rhoncus aliquam lacus,151.187.6.53
222,Arizona,Tachybaptus ruficollis,Croton glandulosus L. var. pubentissimus Croizat,metus vitae ipsum,71.117.159.92
223,Ohio,Carduelis uropygialis,Trichothelium horridulum (Müll. Arg.) R. Sant.,cras non velit,4.140.5.116
224,District of Columbia,Ciconia ciconia,Hypnum cupressiforme Hedw. var. julaceum Brid.,elit sodales scelerisque mauris,0.1.234.150
225,California,Bubo virginianus,Aniseia martinicensis (Jacq.) Choisy,tempus semper est quam,69.182.69.32
226,Virginia,Junonia genoveua,Chaenotheca subroscida (Eitner) Zahlbr.,in quam fringilla rhoncus,112.121.242.98
227,Texas,Bubalus arnee,Astragalus coltonii M.E. Jones var. coltonii,in est risus,251.40.105.14
228,California,Amazona sp.,Melicope oahuensis (Levl.) T.G. Hartley & B.C. Stone,pulvinar lobortis est phasellus,137.164.20.239
229,Iowa,Mazama americana,Penstemon glaucinus Pennell,nonummy maecenas tincidunt lacus at,4.129.154.179
230,Nevada,Cynictis penicillata,Asclepias asperula (Decne.) Woodson ssp. asperula,nulla tellus in sagittis,167.172.79.71
231,Texas,Ploceus intermedius,Lupinus latifolius Lindl. ex J. Agardh ssp. leucanthus (Rydb.) Kenney & D. Dunn,eu mi nulla,190.250.27.75
232,Florida,Spheniscus mendiculus,Trisetum interruptum Buckley,risus auctor sed,76.29.67.192
233,North Carolina,Streptopelia senegalensis,Juncus macrophyllus Coville,ac est lacinia nisi venenatis,5.12.22.199
234,California,Lybius torquatus,Pittosporum kauaiense Hillebr.,velit vivamus vel nulla,32.70.122.165
235,Virginia,Megaderma spasma,Remya Hillebr. ex Benth.,aenean auctor gravida,103.122.212.65
236,Washington,Nesomimus trifasciatus,Rhodiola integrifolia Raf. ssp. integrifolia,iaculis diam erat fermentum,32.112.234.216
237,Kansas,Theropithecus gelada,Carex luzulina Olney,non pretium quis lectus,163.234.235.218
238,Tennessee,Haliaetus leucogaster,Oxytropis sericea Nutt. var. speciosa (Torr. & A. Gray) S.L. Welsh,id turpis integer aliquet massa,147.249.42.81
239,Florida,Anser caerulescens,Ceanothus sorediatus Hook. & Arn.,porta volutpat quam pede,13.31.214.12
240,Florida,Pytilia melba,Chrysopsis mariana (L.) Elliott,proin at turpis a,139.246.84.170
241,California,Spermophilus richardsonii,Centrosema arenicola (Small) F.J. Herm.,sollicitudin ut suscipit a feugiat,231.107.1.50
